principalAmount,outstandingAmount,dueDate,recoveryProbability,trustScore,niceValue
50000,45000,15-08-2026,0.91,0.88,72
75000,68000,30-08-2026,0.84,0.80,65
100000,95000,20-07-2026,0.68,0.64,48
120000,110000,20-06-2026,0.52,0.51,34
25000,18000,05-09-2026,0.95,0.91,88
40000,35000,10-08-2026,0.76,0.73,62
85000,70000,01-08-2026,0.61,0.60,50
150000,140000,20-05-2026,0.38,0.37,22
30000,20000,25-08-2026,0.89,0.86,81
60000,50000,05-08-2026,0.79,0.75,60
90000,80000,12-06-2026,0.45,0.44,30
200000,175000,20-03-2026,0.29,0.26,12
35000,28000,01-09-2026,0.87,0.83,76
55000,47000,15-07-2026,0.70,0.68,54
70000,60000,10-07-2026,0.57,0.55,43
110000,90000,05-09-2026,0.81,0.79,67
45000,30000,28-08-2026,0.94,0.90,84
130000,120000,05-06-2026,0.42,0.40,26
80000,65000,10-08-2026,0.73,0.71,58
100000,75000,30-06-2026,0.64,0.63,46
20000,12000,10-09-2026,0.97,0.94,92
48000,40000,18-08-2026,0.82,0.80,66
95000,88000,25-07-2026,0.63,0.61,44
140000,130000,10-06-2026,0.47,0.45,28
28000,19000,12-09-2026,0.93,0.89,83
65000,55000,22-08-2026,0.78,0.74,61
88000,75000,03-08-2026,0.60,0.58,47
160000,150000,15-05-2026,0.35,0.33,18
32000,22000,30-08-2026,0.91,0.87,78
62000,52000,08-08-2026,0.77,0.74,59
92000,82000,14-06-2026,0.44,0.43,29
210000,185000,25-03-2026,0.27,0.24,10
37000,29000,04-09-2026,0.85,0.82,73
57000,48000,20-07-2026,0.69,0.67,52
72000,62000,12-07-2026,0.56,0.54,41
115000,95000,08-09-2026,0.80,0.78,64
47000,32000,01-09-2026,0.92,0.89,82
135000,125000,08-06-2026,0.41,0.39,24
82000,67000,14-08-2026,0.72,0.70,56
105000,78000,02-07-2026,0.62,0.61,44
22000,14000,15-09-2026,0.96,0.92,90
52000,43000,20-08-2026,0.83,0.81,68
98000,90000,28-07-2026,0.65,0.63,46
145000,133000,12-06-2026,0.46,0.44,27
27000,18500,14-09-2026,0.94,0.90,85
67000,57000,25-08-2026,0.77,0.75,60
89000,77000,05-08-2026,0.59,0.57,45
165000,154000,18-05-2026,0.34,0.31,16
33000,23000,02-09-2026,0.90,0.86,79
64000,54000,10-08-2026,0.75,0.73,57
93000,83000,17-06-2026,0.43,0.42,28
220000,195000,28-03-2026,0.26,0.23,9
38000,30000,06-09-2026,0.86,0.83,74
58000,49500,22-07-2026,0.68,0.66,51
74000,64000,14-07-2026,0.55,0.53,40
118000,98000,10-09-2026,0.79,0.77,63
49000,33500,03-09-2026,0.93,0.90,83
138000,128000,10-06-2026,0.40,0.38,23
84000,69000,16-08-2026,0.71,0.69,55
108000,81000,04-07-2026,0.61,0.60,43
